home_team,away_team,home_goals,away_goals
Fluminense,Atletico Paranaense,1,0
Vasco DA Gama,Cuiaba,1,0
Palmeiras,Fortaleza EC,2,2
Flamengo,Juventude,4,2
Gremio,Atletico Goianiense,3,1
Vitoria,Fluminense,2,1
Atletico Paranaense,Cruzeiro,3,0
RB Bragantino,Botafogo,0,1
Atletico-MG,Internacional,1,3
Criciuma,Sao Paulo,1,1
Cuiaba,Corinthians,0,1
Vasco DA Gama,Bahia,3,2
Internacional,Flamengo,1,1
Fluminense,Gremio,2,2
RB Bragantino,Cuiaba,0,0
Atletico Paranaense,Vitoria,1,2
Juventude,Fortaleza EC,0,3
Corinthians,Palmeiras,2,0
Bahia,Sao Paulo,0,3
Internacional,Criciuma,2,0
Botafogo,Vasco DA Gama,3,0
Cruzeiro,Flamengo,0,1
Atletico Goianiense,Atletico-MG,1,0
Internacional,Fluminense,2,0
Palmeiras,Gremio,1,0
Botafogo,Cuiaba,0,0
Vitoria,Corinthians,1,2
Cruzeiro,Criciuma,2,1
Atletico Goianiense,RB Bragantino,0,0
Juventude,Bahia,2,1
Fortaleza EC,Vasco DA Gama,3,0
Sao Paulo,Atletico Paranaense,2,1
Flamengo,Atletico-MG,0,0
Atletico Paranaense,Atletico-MG,1,0
Corinthians,Cruzeiro,2,1
Atletico Paranaense,Atletico Goianiense,2,0
Criciuma,Vitoria,0,1
RB Bragantino,Sao Paulo,1,1
Bahia,Palmeiras,1,2
Gremio,Juventude,2,2
Cuiaba,Flamengo,1,2
Atletico-MG,Botafogo,0,0
Vasco DA Gama,Internacional,0,1
Fluminense,Fortaleza EC,2,2
Botafogo,Vitoria,1,1
Atletico Goianiense,Palmeiras,0,1
Juventude,Cuiaba,1,1
Sao Paulo,Atletico-MG,2,2
Bahia,Atletico Paranaense,1,1
Internacional,RB Bragantino,4,1
Corinthians,Vasco DA Gama,3,1
Fluminense,Criciuma,0,0
Fortaleza EC,Flamengo,0,0
Palmeiras,Botafogo,1,3
Atletico-MG,Juventude,2,3
